10.0.1.10,10.0.2.10,1,53694,s1-eth1,s1-eth4
10.0.2.10,10.0.1.10,1,53694,s2-eth1,s2-eth4
10.0.1.10,10.0.2.10,1,3250,s1-eth1,s1-eth4
10.0.2.10,10.0.1.10,1,3250,s2-eth1,s2-eth4
10.0.4.10,10.0.3.10,6,60874,57543,s4-eth1,s4-eth4
10.0.3.10,10.0.4.10,6,57543,60874,s3-eth1,s3-eth4
10.0.1.10,10.0.6.10,6,37498,57516,s1-eth1,s1-eth4
10.0.4.10,10.0.6.10,6,35040,57546,s4-eth1,s4-eth4
10.0.5.10,10.0.4.10,6,44598,57154,s5-eth1,s5-eth3
10.0.6.10,10.0.1.10,6,57516,37498,s6-eth1,s6-eth3
10.0.4.10,10.0.3.10,6,60888,57543,s4-eth1,s4-eth4
10.0.5.10,10.0.8.10,6,41508,57258,s5-eth1,s5-eth3
10.0.2.10,10.0.4.10,6,44434,57924,s2-eth1,s2-eth4
10.0.1.10,10.0.6.10,6,57438,57516,s1-eth1,s1-eth4
10.0.3.10,10.0.4.10,6,57543,60888,s3-eth1,s3-eth4
10.0.6.10,10.0.4.10,6,57546,35040,s6-eth1,s6-eth3
10.0.8.10,10.0.5.10,6,57258,41508,s8-eth1,s8-eth3
10.0.4.10,10.0.5.10,6,57154,44598,s4-eth1,s4-eth4
10.0.5.10,10.0.8.10,6,60262,57258,s5-eth1,s5-eth3
10.0.8.10,10.0.3.10,6,56018,57183,s8-eth1,s8-eth3
10.0.1.10,10.0.2.10,6,56252,57112,s1-eth1,s1-eth4
10.0.2.10,10.0.5.10,6,59418,57625,s2-eth1,s2-eth4
10.0.6.10,10.0.2.10,6,45224,57062,s6-eth1,s6-eth3
10.0.4.10,10.0.2.10,6,57924,44434,s4-eth1,s4-eth4
10.0.5.10,10.0.4.10,6,44062,57154,s5-eth1,s5-eth3
10.0.8.10,10.0.5.10,6,57258,60262,s8-eth1,s8-eth3
10.0.4.10,10.0.5.10,6,43030,57445,s4-eth1,s4-eth4
10.0.6.10,10.0.1.10,6,57516,57438,s6-eth1,s6-eth3
10.0.6.10,10.0.7.10,6,39040,57267,s6-eth1,s6-eth3
10.0.4.10,10.0.3.10,6,59464,57543,s4-eth1,s4-eth4
10.0.4.10,10.0.6.10,6,48128,57546,s4-eth1,s4-eth4
10.0.3.10,10.0.4.10,6,57543,59464,s3-eth1,s3-eth4
10.0.5.10,10.0.4.10,6,57122,57154,s5-eth1,s5-eth3
10.0.6.10,10.0.4.10,6,57546,48128,s6-eth1,s6-eth3
10.0.1.10,10.0.6.10,6,34056,57516,s1-eth1,s1-eth4
10.0.4.10,10.0.3.10,6,59478,57543,s4-eth1,s4-eth4
10.0.2.10,10.0.4.10,6,53308,57924,s2-eth1,s2-eth4
10.0.5.10,10.0.8.10,6,49074,57258,s5-eth1,s5-eth3
10.0.3.10,10.0.4.10,6,57543,59478,s3-eth1,s3-eth4
10.0.8.10,10.0.3.10,6,55298,57183,s8-eth1,s8-eth3
10.0.1.10,10.0.2.10,6,37072,57112,s1-eth1,s1-eth4
10.0.4.10,10.0.5.10,6,57154,57122,s4-eth1,s4-eth4
10.0.6.10,10.0.2.10,6,54764,57062,s6-eth1,s6-eth3
10.0.2.10,10.0.1.10,6,57112,37072,s2-eth1,s2-eth4
10.0.3.10,10.0.8.10,6,57183,55298,s3-eth1,s3-eth4
10.0.5.10,10.0.4.10,6,34054,57154,s5-eth1,s5-eth3
10.0.8.10,10.0.5.10,6,57258,49074,s8-eth1,s8-eth3
10.0.1.10,10.0.2.10,6,52566,57112,s1-eth1,s1-eth4
10.0.2.10,10.0.5.10,6,37524,57625,s2-eth1,s2-eth4
10.0.6.10,10.0.1.10,6,57516,34056,s6-eth1,s6-eth3
10.0.4.10,10.0.6.10,6,44516,57546,s4-eth1,s4-eth4
10.0.7.10,10.0.4.10,6,58888,57174,s7-eth1,s7-eth3
10.0.8.10,10.0.3.10,6,58808,57183,s8-eth1,s8-eth3
10.0.5.10,10.0.8.10,6,45074,57258,s5-eth1,s5-eth3
10.0.3.10,10.0.7.10,6,59722,57337,s3-eth1,s3-eth4
10.0.1.10,10.0.4.10,6,56098,57314,s1-eth1,s1-eth4
10.0.2.10,10.0.6.10,6,57062,54764,s2-eth1,s2-eth4
10.0.6.10,10.0.7.10,6,51054,57267,s6-eth1,s6-eth3
10.0.4.10,10.0.2.10,6,57924,53308,s4-eth1,s4-eth4
10.0.7.10,10.0.2.10,6,41820,57272,s7-eth1,s7-eth3
10.0.5.10,10.0.8.10,6,58656,57858,s5-eth1,s5-eth3
10.0.8.10,10.0.5.10,6,57258,45074,s8-eth1,s8-eth3
10.0.1.10,10.0.6.10,6,53256,57516,s1-eth1,s1-eth4
10.0.3.10,10.0.5.10,6,35036,57335,s3-eth1,s3-eth4
10.0.6.10,10.0.3.10,6,34020,57463,s6-eth1,s6-eth3
10.0.2.10,10.0.1.10,6,57736,57221,s2-eth1,s2-eth4
10.0.4.10,10.0.5.10,6,52634,57445,s4-eth1,s4-eth4
10.0.5.10,10.0.2.10,6,56308,57552,s5-eth1,s5-eth3
10.0.8.10,10.0.5.10,6,57858,58656,s8-eth1,s8-eth3
10.0.7.10,10.0.8.10,6,48350,57878,s7-eth1,s7-eth3
10.0.2.10,10.0.3.10,6,40428,57923,s2-eth1,s2-eth4
10.0.1.10,10.0.7.10,6,55428,57817,s1-eth1,s1-eth4
10.0.6.10,10.0.4.10,6,57546,44516,s6-eth1,s6-eth3
10.0.3.10,10.0.8.10,6,57183,58808,s3-eth1,s3-eth4
10.0.5.10,10.0.2.10,6,57625,37524,s5-eth1,s5-eth3
10.0.7.10,10.0.6.10,6,57267,51054,s7-eth1,s7-eth3
10.0.4.10,10.0.5.10,6,57154,34054,s4-eth1,s4-eth4
10.0.8.10,10.0.7.10,6,57878,48350,s8-eth1,s8-eth3
10.0.2.10,10.0.1.10,6,57112,52566,s2-eth1,s2-eth4
10.0.1.10,10.0.2.10,6,41144,57912,s1-eth1,s1-eth4
10.0.7.10,10.0.3.10,6,57337,59722,s7-eth1,s7-eth3
10.0.6.10,10.0.2.10,6,60284,57162,s6-eth1,s6-eth3
10.0.3.10,10.0.2.10,6,57923,40428,s3-eth1,s3-eth4
10.0.5.10,10.0.3.10,6,57335,35036,s5-eth1,s5-eth3
10.0.2.10,10.0.5.10,6,35046,57325,s2-eth1,s2-eth4
10.0.1.10,10.0.3.10,6,35408,57813,s1-eth1,s1-eth4
10.0.4.10,10.0.7.10,6,43382,57647,s4-eth1,s4-eth4
10.0.8.10,10.0.3.10,6,55174,57083,s8-eth1,s8-eth3
10.0.3.10,10.0.6.10,6,57463,34020,s3-eth1,s3-eth4
10.0.7.10,10.0.1.10,6,57817,55428,s7-eth1,s7-eth3
10.0.6.10,10.0.5.10,6,50828,57165,s6-eth1,s6-eth3
10.0.5.10,10.0.4.10,6,57378,57554,s5-eth1,s5-eth3
10.0.2.10,10.0.5.10,6,40894,57425,s2-eth1,s2-eth4
10.0.1.10,10.0.2.10,6,57221,57736,s1-eth1,s1-eth4
10.0.4.10,10.0.7.10,6,57174,58888,s4-eth1,s4-eth4
10.0.6.10,10.0.5.10,6,47652,57565,s6-eth1,s6-eth3
10.0.8.10,10.0.4.10,6,60974,57184,s8-eth1,s8-eth3
10.0.3.10,10.0.8.10,6,57083,55174,s3-eth1,s3-eth4
10.0.7.10,10.0.8.10,6,56886,57878,s7-eth1,s7-eth3
10.0.1.10,10.0.2.10,6,36040,57412,s1-eth1,s1-eth4
10.0.5.10,10.0.8.10,6,54492,57858,s5-eth1,s5-eth3
10.0.2.10,10.0.1.10,6,51254,57621,s2-eth1,s2-eth4
10.0.8.10,10.0.6.10,6,45966,57386,s8-eth1,s8-eth3
10.0.6.10,10.0.1.10,6,57516,53256,s6-eth1,s6-eth3
10.0.7.10,10.0.4.10,6,53586,57674,s7-eth1,s7-eth3
10.0.4.10,10.0.3.10,6,40798,57643,s4-eth1,s4-eth4
10.0.3.10,10.0.7.10,6,33250,57337,s3-eth1,s3-eth4
10.0.1.10,10.0.6.10,6,59344,57416,s1-eth1,s1-eth4
10.0.5.10,10.0.4.10,6,57445,52634,s5-eth1,s5-eth3
10.0.2.10,10.0.7.10,6,57272,41820,s2-eth1,s2-eth4
10.0.8.10,10.0.3.10,6,54326,57083,s8-eth1,s8-eth3
10.0.4.10,10.0.1.10,6,57314,56098,s4-eth1,s4-eth4
10.0.6.10,10.0.2.10,6,38092,57062,s6-eth1,s6-eth3
10.0.3.10,10.0.5.10,6,40110,57335,s3-eth1,s3-eth4
10.0.7.10,10.0.4.10,6,35478,57474,s7-eth1,s7-eth3
10.0.1.10,10.0.4.10,6,46690,57814,s1-eth1,s1-eth4
10.0.4.10,10.0.8.10,6,35612,57048,s4-eth1,s4-eth4
10.0.2.10,10.0.5.10,6,57552,56308,s2-eth1,s2-eth4
10.0.5.10,10.0.2.10,6,57325,35046,s5-eth1,s5-eth3
10.0.8.10,10.0.5.10,6,57858,54492,s8-eth1,s8-eth3
10.0.6.10,10.0.7.10,6,36006,57267,s6-eth1,s6-eth3
10.0.3.10,10.0.8.10,6,60948,57038,s3-eth1,s3-eth4
10.0.1.10,10.0.7.10,6,42254,57817,s1-eth1,s1-eth4
10.0.8.10,10.0.4.10,6,41898,57884,s8-eth1,s8-eth3
10.0.7.10,10.0.3.10,6,57337,33250,s7-eth1,s7-eth3
10.0.2.10,10.0.4.10,6,35836,57924,s2-eth1,s2-eth4
10.0.4.10,10.0.5.10,6,37330,57145,s4-eth1,s4-eth4
10.0.5.10,10.0.7.10,6,33060,57157,s5-eth1,s5-eth3
10.0.6.10,10.0.3.10,6,43374,57063,s6-eth1,s6-eth3
10.0.1.10,10.0.4.10,6,57648,57014,s1-eth1,s1-eth4
10.0.3.10,10.0.4.10,6,41600,57634,s3-eth1,s3-eth4
10.0.8.10,10.0.7.10,6,57878,56886,s8-eth1,s8-eth3
10.0.7.10,10.0.8.10,6,54990,57278,s7-eth1,s7-eth3
10.0.2.10,10.0.6.10,6,37298,57426,s2-eth1,s2-eth4
10.0.5.10,10.0.7.10,6,44900,57357,s5-eth1,s5-eth3
10.0.3.10,10.0.1.10,6,41792,57831,s3-eth1,s3-eth4
10.0.1.10,10.0.4.10,6,56790,57414,s1-eth1,s1-eth4
10.0.4.10,10.0.6.10,6,43326,57446,s4-eth1,s4-eth4
10.0.8.10,10.0.7.10,6,39240,57287,s8-eth1,s8-eth3
10.0.6.10,10.0.3.10,6,57782,57363,s6-eth1,s6-eth3
10.0.7.10,10.0.1.10,6,57817,42254,s7-eth1,s7-eth3
10.0.5.10,10.0.3.10,6,57335,40110,s5-eth1,s5-eth3
10.0.2.10,10.0.1.10,6,57912,41144,s2-eth1,s2-eth4
10.0.3.10,10.0.4.10,6,38604,57934,s3-eth1,s3-eth4
10.0.1.10,10.0.2.10,6,57128,57612,s1-eth1,s1-eth4
10.0.8.10,10.0.2.10,6,54822,57882,s8-eth1,s8-eth3
10.0.4.10,10.0.8.10,6,57244,57648,s4-eth1,s4-eth4
10.0.3.10,10.0.1.10,6,57813,35408,s3-eth1,s3-eth4
10.0.2.10,10.0.3.10,6,60270,57823,s2-eth1,s2-eth4
10.0.7.10,10.0.3.10,6,52878,57073,s7-eth1,s7-eth3
10.0.6.10,10.0.4.10,6,35406,57664,s6-eth1,s6-eth3
10.0.1.10,10.0.5.10,6,47156,57415,s1-eth1,s1-eth4
10.0.5.10,10.0.1.10,6,34974,57651,s5-eth1,s5-eth3
10.0.8.10,10.0.3.10,6,36330,57983,s8-eth1,s8-eth3
10.0.3.10,10.0.6.10,6,50652,57736,s3-eth1,s3-eth4
10.0.4.10,10.0.8.10,6,57782,57148,s4-eth1,s4-eth4
10.0.2.10,10.0.5.10,6,32976,57625,s2-eth1,s2-eth4
10.0.6.10,10.0.7.10,6,41238,57667,s6-eth1,s6-eth3
10.0.7.10,10.0.5.10,6,57157,33060,s7-eth1,s7-eth3
10.0.1.10,10.0.8.10,6,55674,57118,s1-eth1,s1-eth4
10.0.5.10,10.0.1.10,6,47320,57051,s5-eth1,s5-eth3
10.0.8.10,10.0.7.10,6,57278,54990,s8-eth1,s8-eth3
10.0.6.10,10.0.4.10,6,48712,57564,s6-eth1,s6-eth3
10.0.2.10,10.0.3.10,6,55664,57923,s2-eth1,s2-eth4
10.0.7.10,10.0.1.10,6,43510,57771,s7-eth1,s7-eth3
10.0.3.10,10.0.2.10,6,37678,57232,s3-eth1,s3-eth4
10.0.4.10,10.0.7.10,6,45850,57447,s4-eth1,s4-eth4
10.0.8.10,10.0.5.10,6,39630,57185,s8-eth1,s8-eth3
10.0.5.10,10.0.2.10,6,36604,57952,s5-eth1,s5-eth3
10.0.1.10,10.0.3.10,6,57831,41792,s1-eth1,s1-eth4
10.0.3.10,10.0.2.10,6,33258,57732,s3-eth1,s3-eth4
10.0.2.10,10.0.4.10,6,55196,57724,s2-eth1,s2-eth4
10.0.6.10,10.0.8.10,6,57386,45966,s6-eth1,s6-eth3
10.0.7.10,10.0.5.10,6,51914,57375,s7-eth1,s7-eth3
10.0.8.10,10.0.3.10,6,57038,60948,s8-eth1,s8-eth3
10.0.1.10,10.0.8.10,6,53224,57618,s1-eth1,s1-eth4
10.0.4.10,10.0.1.10,6,41064,57641,s4-eth1,s4-eth4
10.0.3.10,10.0.8.10,6,57083,54326,s3-eth1,s3-eth4
10.0.2.10,10.0.6.10,6,57162,60284,s2-eth1,s2-eth4
10.0.5.10,10.0.2.10,6,36494,57152,s5-eth1,s5-eth3
10.0.7.10,10.0.5.10,6,57357,44900,s7-eth1,s7-eth3
10.0.6.10,10.0.1.10,6,57416,59344,s6-eth1,s6-eth3
10.0.4.10,10.0.5.10,6,57554,57378,s4-eth1,s4-eth4
10.0.2.10,10.0.4.10,6,50786,57124,s2-eth1,s2-eth4
10.0.7.10,10.0.8.10,6,51050,57978,s7-eth1,s7-eth3
10.0.8.10,10.0.4.10,6,38182,57284,s8-eth1,s8-eth3
10.0.1.10,10.0.3.10,6,48512,57313,s1-eth1,s1-eth4
10.0.3.10,10.0.7.10,6,36084,57637,s3-eth1,s3-eth4
10.0.5.10,10.0.3.10,6,43776,57853,s5-eth1,s5-eth3
10.0.4.10,10.0.8.10,6,57184,60974,s4-eth1,s4-eth4
10.0.2.10,10.0.6.10,6,42020,57226,s2-eth1,s2-eth4
10.0.6.10,10.0.2.10,6,34544,57962,s6-eth1,s6-eth3
10.0.1.10,10.0.8.10,6,46710,57018,s1-eth1,s1-eth4
10.0.7.10,10.0.8.10,6,57287,39240,s7-eth1,s7-eth3
10.0.3.10,10.0.2.10,6,59262,57532,s3-eth1,s3-eth4
10.0.8.10,10.0.2.10,6,38946,57582,s8-eth1,s8-eth3
10.0.5.10,10.0.7.10,6,36624,57657,s5-eth1,s5-eth3
10.0.4.10,10.0.2.10,6,56430,57442,s4-eth1,s4-eth4
10.0.2.10,10.0.4.10,6,34144,57224,s2-eth1,s2-eth4
10.0.7.10,10.0.3.10,6,39864,57373,s7-eth1,s7-eth3
10.0.1.10,10.0.7.10,6,43828,57517,s1-eth1,s1-eth4
10.0.6.10,10.0.3.10,6,33084,57963,s6-eth1,s6-eth3
10.0.3.10,10.0.7.10,6,45966,57037,s3-eth1,s3-eth4
10.0.5.10,10.0.3.10,6,47554,57253,s5-eth1,s5-eth3
10.0.8.10,10.0.6.10,6,33458,57686,s8-eth1,s8-eth3
10.0.4.10,10.0.6.10,6,39090,57646,s4-eth1,s4-eth4
10.0.2.10,10.0.1.10,6,57412,36040,s2-eth1,s2-eth4
10.0.7.10,10.0.5.10,6,59054,57675,s7-eth1,s7-eth3
10.0.1.10,10.0.3.10,6,47990,57513,s1-eth1,s1-eth4
10.0.8.10,10.0.2.10,6,55280,57182,s8-eth1,s8-eth3
10.0.3.10,10.0.6.10,6,57363,57782,s3-eth1,s3-eth4
10.0.4.10,10.0.7.10,6,57674,53586,s4-eth1,s4-eth4
10.0.6.10,10.0.5.10,6,34508,57365,s6-eth1,s6-eth3
10.0.2.10,10.0.3.10,6,47394,57723,s2-eth1,s2-eth4
10.0.5.10,10.0.1.10,6,57415,47156,s5-eth1,s5-eth3
10.0.7.10,10.0.8.10,6,40948,57278,s7-eth1,s7-eth3
10.0.1.10,10.0.4.10,6,47076,57914,s1-eth1,s1-eth4
10.0.2.10,10.0.8.10,6,56050,57128,s2-eth1,s2-eth4
10.0.6.10,10.0.4.10,6,51458,57064,s6-eth1,s6-eth3
10.0.8.10,10.0.1.10,6,40480,57781,s8-eth1,s8-eth3
10.0.4.10,10.0.3.10,6,36668,57143,s4-eth1,s4-eth4
10.0.3.10,10.0.2.10,6,37268,57132,s3-eth1,s3-eth4
10.0.7.10,10.0.2.10,6,39822,57472,s7-eth1,s7-eth3
10.0.1.10,10.0.5.10,6,57651,34974,s1-eth1,s1-eth4
10.0.5.10,10.0.4.10,6,52248,57354,s5-eth1,s5-eth3
10.0.4.10,10.0.2.10,6,59106,57942,s4-eth1,s4-eth4
10.0.3.10,10.0.4.10,6,34518,57034,s3-eth1,s3-eth4
10.0.2.10,10.0.8.10,6,43380,57528,s2-eth1,s2-eth4
10.0.6.10,10.0.4.10,6,35338,57264,s6-eth1,s6-eth3
10.0.8.10,10.0.4.10,6,44046,57484,s8-eth1,s8-eth3
10.0.4.10,10.0.8.10,6,60402,57848,s4-eth1,s4-eth4
10.0.7.10,10.0.5.10,6,41914,57275,s7-eth1,s7-eth3
10.0.3.10,10.0.5.10,6,49140,57635,s3-eth1,s3-eth4
10.0.5.10,10.0.7.10,6,57375,51914,s5-eth1,s5-eth3
10.0.1.10,10.0.7.10,6,57771,43510,s1-eth1,s1-eth4
10.0.2.10,10.0.1.10,6,57612,57128,s2-eth1,s2-eth4
10.0.6.10,10.0.8.10,6,47790,57768,s6-eth1,s6-eth3
10.0.4.10,10.0.1.10,6,57814,46690,s4-eth1,s4-eth4
10.0.3.10,10.0.4.10,6,48666,57534,s3-eth1,s3-eth4
10.0.7.10,10.0.3.10,6,56616,57773,s7-eth1,s7-eth3
10.0.5.10,10.0.8.10,6,57185,39630,s5-eth1,s5-eth3
10.0.8.10,10.0.2.10,6,43480,57982,s8-eth1,s8-eth3
10.0.2.10,10.0.8.10,6,57882,54822,s2-eth1,s2-eth4
10.0.1.10,10.0.3.10,6,44114,57713,s1-eth1,s1-eth4
10.0.4.10,10.0.7.10,6,57474,35478,s4-eth1,s4-eth4
10.0.5.10,10.0.8.10,6,37708,57358,s5-eth1,s5-eth3
10.0.6.10,10.0.2.10,6,50822,57262,s6-eth1,s6-eth3
10.0.7.10,10.0.6.10,6,56848,57576,s7-eth1,s7-eth3
10.0.3.10,10.0.7.10,6,57073,52878,s3-eth1,s3-eth4
10.0.1.10,10.0.5.10,6,57051,47320,s1-eth1,s1-eth4
10.0.8.10,10.0.7.10,6,42846,57187,s8-eth1,s8-eth3
10.0.5.10,10.0.7.10,6,57675,59054,s5-eth1,s5-eth3
10.0.2.10,10.0.1.10,6,44358,57321,s2-eth1,s2-eth4
10.0.7.10,10.0.5.10,6,57657,36624,s7-eth1,s7-eth3
10.0.6.10,10.0.8.10,6,47308,57368,s6-eth1,s6-eth3
10.0.4.10,10.0.8.10,6,57884,41898,s4-eth1,s4-eth4
10.0.3.10,10.0.5.10,6,57853,43776,s3-eth1,s3-eth4
10.0.5.10,10.0.6.10,6,56758,57756,s5-eth1,s5-eth3
10.0.8.10,10.0.1.10,6,57118,55674,s8-eth1,s8-eth3
10.0.2.10,10.0.5.10,6,57152,36494,s2-eth1,s2-eth4
10.0.1.10,10.0.5.10,6,46808,57415,s1-eth1,s1-eth4
10.0.7.10,10.0.1.10,6,57517,43828,s7-eth1,s7-eth3
10.0.6.10,10.0.2.10,6,47922,57662,s6-eth1,s6-eth3
10.0.4.10,10.0.1.10,6,57014,57648,s4-eth1,s4-eth4
10.0.5.10,10.0.3.10,6,42132,57453,s5-eth1,s5-eth3
10.0.3.10,10.0.8.10,6,57983,36330,s3-eth1,s3-eth4
10.0.8.10,10.0.3.10,6,38878,57383,s8-eth1,s8-eth3
10.0.2.10,10.0.5.10,6,57952,36604,s2-eth1,s2-eth4
10.0.4.10,10.0.5.10,6,51234,57245,s4-eth1,s4-eth4
10.0.1.10,10.0.8.10,6,57781,40480,s1-eth1,s1-eth4
10.0.7.10,10.0.3.10,6,57037,45966,s7-eth1,s7-eth3
10.0.5.10,10.0.7.10,6,57275,41914,s5-eth1,s5-eth3
10.0.6.10,10.0.7.10,6,47638,57867,s6-eth1,s6-eth3
10.0.3.10,10.0.1.10,6,57313,48512,s3-eth1,s3-eth4
10.0.8.10,10.0.7.10,6,57978,51050,s8-eth1,s8-eth3
10.0.4.10,10.0.1.10,6,58118,57541,s4-eth1,s4-eth4
10.0.6.10,10.0.3.10,6,33318,57163,s6-eth1,s6-eth3
10.0.5.10,10.0.4.10,6,40316,57654,s5-eth1,s5-eth3
10.0.2.10,10.0.7.10,6,57472,39822,s2-eth1,s2-eth4
10.0.1.10,10.0.2.10,6,57321,44358,s1-eth1,s1-eth4
10.0.7.10,10.0.1.10,6,53946,57471,s7-eth1,s7-eth3
10.0.3.10,10.0.6.10,6,58754,57036,s3-eth1,s3-eth4
10.0.8.10,10.0.1.10,6,57018,46710,s8-eth1,s8-eth3
